Word,Translation
Головной узел,Headend
Распределитель,Spreader
Кадр,Frame
Прогнозирование,Forecasting
Зависимый,Dependent
Убеждение,Conviction
Масштабирование,Scaling
Совместимый,Compliant
Излучать,Emit
Неизменный,Immutable
Ответственный,Responsible
Влияние,Impact
Впечатление,Impression
Логический вывод,Inference
Последовательный,Sequential
Преднамеренный,Intentional
Приборная панель,Dashboard
График,Timeline
Оценка,Evaluation
Подразумевать,Imply
Блёклый,Faded
Существенно,Substantially
Подвергаться,Undergo
Перехватывать,Intercept
Ясность,Clarity
Перекрытие,Overlap
Подправлять,Tweak
Годовой,Annual
Беспокойство,Concern
Однородный,Homogeneous
Реквизит,Props
Следовательно,Hence
По-видимому,Apparently
Лента,Ribbon
Предшественник,Precursor
План,Blueprint
Изоляция,Insulation
Обозначать,Denote
Взаимно,Mutually
Порядковый,Ordinal
Чередовать,Alternate
